simbolo,ultimo_operado,variacion_diaria,cantidad_compra,precio_compra,precio_venta,cantidad_venta,maximo,minimo,ultimo_cierre,monto_operado,t._i._r.,duracion_(md)
GD38D,7345.0,"0,20%",-,-,-,-,7393.0,7250.0,7330.0,492.74388,"0,00 %",0
GD41,76.18,"0,07%",-,-,-,-,77.35,75.52,76.12,"4.195.044.205,00","0,00 %",0
GD41C,6361.0,"0,03%",-,-,-,-,6390.0,6350.0,6361.0,120.62297,"0,00 %",0
GD41D,6450.0,"0,24%",-,-,-,-,6530.0,6351.0,6450.0,991.98062,"0,00 %",0
GD46,79.0,0%,-,-,-,-,81.14,76.93,79.0,"71.740.126,20","0,00 %",0
GD46C,6608.0,"0,41%",-,-,-,-,0.0,0.0,6608.0,0,"0,00 %",0
GD46D,6664.0,"-0,07%",-,-,-,-,6713.0,6640.0,6664.0,13.69255,"0,00 %",0
NDT25,87.1,"-0,79%",-,-,-,-,90.0,87.0,87.1,"26.529.563,50","0,00 %",0
NDT5D,7480.0,"0,53%",-,-,-,-,7650.0,7480.0,7480.0,12.30589,"0,00 %",0
PAP0,21.21,"-2,25%",-,-,-,-,21.1,20.53,21.21,"3.901.990,50","4,71 %",118919
PARP,21.5,"-0,16%",-,-,-,-,22.145,21.26,21.5,"158.890.220,00","2,86 %",122339
PBY26,11000.0,"0,91%",-,-,-,-,11150.0,10860.0,11000.0,"1.286.637.058,91","0,00 %",0
PM29C,5810.0,0%,-,-,-,-,0.0,0.0,5810.0,0,"0,00 %",0
PM29D,5875.0,"-0,25%",-,-,-,-,5999.0,5890.0,5875.0,14.7589,"0,00 %",0
PMM29,68.6,"-1,85%",-,-,-,-,69.9,68.0,68.6,"41.454.600,00","0,00 %",0
PR17,51890.0,"0,36%",-,-,-,-,52090.0,51130.0,51890.0,"195.068.586,80","0,00 %",0
PUL26,75.53,0%,-,-,-,-,0.0,0.0,75.53,0,"0,00 %",0
SA24D,87.7,"0,51%",-,-,-,-,88.0,87.3,87.7,246.945,"0,00 %",0
T13F6,11345.0,"0,62%",-,-,-,-,11385.0,11100.0,11345.0,"8.961.818.237,34","0,00 %",0
T15D5,14095.0,"1,03%",-,-,-,-,14350.0,13845.0,14095.0,"7.882.018.901,47","0,00 %",0
T15E7,10100.0,0%,-,-,-,-,10210.0,10000.0,10100.0,"1.260.006.478,28","0,00 %",0
T17O5,13770.0,"0,99%",-,-,-,-,13905.0,13550.0,13770.0,"3.350.674.839,24","0,00 %",0
T30E6,11235.0,"0,40%",-,-,-,-,11290.0,11100.0,11235.0,"649.486.009,77","0,00 %",0
T30J6,10165.0,"-0,24%",-,-,-,-,10305.0,10005.0,10165.0,"7.546.719.329,74","0,00 %",0
TC25P,6.265,0%,-,-,-,-,6.3,6.103,6.265,0,"0,00 %",0
TFU27,61.0,0%,-,-,-,-,61.0,61.0,61.0,0,"-55,26 %",58028
TG25,29000.0,"4,69%",-,-,-,-,27700.0,27700.0,29000.0,10.14097,"0,00 %",0
TO26,8107.0,"0,24%",-,-,-,-,8380.0,8003.0,8107.0,"980.390.604,63","48,08 %",29588
TTD26,10155.0,"0,39%",-,-,-,-,10225.0,10100.0,10155.0,"2.131.147.256,18","0,00 %",0
TTJ26,10290.0,"0,53%",-,-,-,-,10400.0,10150.0,10290.0,"1.192.197.176,05","0,00 %",0
TTM26,10440.0,"0,48%",-,-,-,-,10500.0,10310.0,10440.0,"4.932.760.653,36","0,00 %",0
TTS26,10190.0,"0,39%",-,-,-,-,10370.0,10100.0,10190.0,"4.117.143.422,60","0,00 %",0
TVPA,2.61,"0,38%",-,-,-,-,2.625,2.5,2.61,"66.861.126,29","0,00 %",0
TVPE,11.5,0%,-,-,-,-,0.0,0.0,11.5,0,"0,00 %",0
TVPP,2015.0,"0,80%",-,-,-,-,2140.0,1956.0,2015.0,"4.205.673,40","0,00 %",0
TVPY,4.2,0%,-,-,-,-,4.2,4.2,4.2,9.786,"0,00 %",0
TX25,1.204,"0,41%",-,-,-,-,1.2335,1.165,1.204,"165.729.301,84","0,00 %",0
TX26,1.904,"0,21%",-,-,-,-,1.925,1.8995,1.904,"7.460.031.986,08","0,00 %",0
TX26D,161.0,"1,06%",-,-,-,-,163.0,160.0,160.0,23.62215,"0,00 %",0
TX28,1.778,"-0,08%",-,-,-,-,1.789,1.76,1.778,"297.916.570,03","0,00 %",0
TX28D,151.0,"-0,06%",-,-,-,-,153.0,148.0,151.0,8.51497,"0,00 %",0
TX31,91000.0,"-0,54%",-,-,-,-,93110.0,90810.0,91000.0,"11.761.856,03","0,00 %",0
TXM6D,13.0,"-6,47%",-,-,-,-,0.0,0.0,13.0,0,"0,00 %",0
TY27P,11945.0,0%,-,-,-,-,11945.0,11945.0,11945.0,0,"0,00 %",0
TZV25,113.5,"-0,86%",-,-,-,-,116.99,112.21,113.5,"33.589.443.307,60","0,00 %",0
TZV26,103.0,"2,38%",-,-,-,-,103.0,99.05,103.0,"249.840.941,60","0,00 %",0
TZVD5,110.38,"-0,10%",-,-,-,-,110.8,108.0,110.38,"53.020.062,40","0,00 %",0
TZX25,23205.0,"0,12%",-,-,-,-,23595.0,22870.0,23205.0,"6.243.256.432,16","0,00 %",0
TZX26,25115.0,"-0,07%",-,-,-,-,25445.0,24920.0,25115.0,"2.312.796.175,11","0,00 %",0
TZX27,22875.0,0%,-,-,-,-,23095.0,22600.0,22875.0,"516.176.319,66","0,00 %",0
TZX28,20780.0,"-0,07%",-,-,-,-,21195.0,20620.0,20795.0,"1.641.090.672,25","0,00 %",0
TZX6D,22.0,0%,-,-,-,-,0.0,0.0,22.0,0,"0,00 %",0
TZXD5,19715.0,"0,20%",-,-,-,-,20000.0,19605.0,19715.0,"6.791.503.511,02","0,00 %",0
TZXD6,17735.0,"0,28%",-,-,-,-,18000.0,17600.0,17735.0,"4.883.949.789,27","0,00 %",0
TZXD7,16125.0,"-0,18%",-,-,-,-,16250.0,16115.0,16125.0,"3.738.642.211,34","0,00 %",0
TZXM6,15295.0,"-0,03%",-,-,-,-,15475.0,15230.0,15295.0,"3.137.521.852,65","0,00 %",0
TZXM7,12895.0,"-0,34%",-,-,-,-,13170.0,12850.0,12895.0,"5.687.024.157,55","0,00 %",0
TZXO5,11410.0,"-0,13%",-,-,-,-,11600.0,11335.0,11410.0,"1.526.732.327,09","0,00 %",0
TZXO6,10170.0,"0,19%",-,-,-,-,10200.0,10125.0,10170.0,"224.030.082,07","0,00 %",0
TZXY5,11785.0,"0,16%",-,-,-,-,11850.0,11680.0,11785.0,"16.986.666.017,08","0,00 %",0
